country_code;variable;label;unit;format;icon_src;year;source_link;description;group;agg_method;weight_var;scorevar_name
All;risk_score;Risk score;;decimal2;risk_score.png;Index of various indicators: see underlying indicators for source year.;;This risk score is a 1-10 score which combines all underlying indicators into one index, comparable accross communities. It is made up of three main pillars: vulnerability, hazards exposure and lack of coping capacity. The method and conceptual framework are derived from the INFORM model (www.inform-index.org), which applies it on a national level instead of a sub-national / community level. ;scores;weighted_avg;population;risk_score
All;vulnerability_score;Vulnerability;;decimal2;vulnerability.png;Index of various indicators: see underlying indicators for source year.;;The vulnerability pillar contains information on vulnerability: relative socio-economic status, but also inequality and presence of specific vulnerable groups. You can inspect which indicators are included at present, by expanding the Vulnerability-section in the sidebar on the left.;scores;weighted_avg;population;vulnerability_score
All;hazard_score;Hazards exposure;;decimal2;hazards.png;Index of various indicators: see underlying indicators for source year.;;The hazards exposure pillar contains information on the relative risk of various types of hazards happening. You can inspect which indicators are included at present, by expanding the Hazards-section in the sidebar on the left.;scores;weighted_avg;population;hazard_score
All;coping_capacity_score;Lack of Coping Capacity;;decimal2;coping.png;Index of various indicators: see underlying indicators for source year.;;The Coping Capacity component of the Risk Score contains information on institutional and infrastructural capacity to coping with disasters. You can inspect which indicators are included at present, by expanding the Coping Capacity-section in the sidebar on the left.;scores;weighted_avg;population;coping_capacity_score
PH;population;Population;;decimal0;population.png;2015;http://psa.gov.ph/content/highlights-philippine-population-2015-census-population;Population data from the most recent census in the Philippines (2015), collected on barangay-level.;general;sum;;
All;land_area;Land area;km<sup>2</sup>;decimal0;area.png;2015;;Area computed on the basis of the barangay-level administrative division.;;sum;;
All;pop_density;Population density;per km<sup>2</sup>;decimal0;density.png;2015;;Most recent population data (see population info), divided by land area (computed from boundary data) in square kilometers.;general;weighted_avg;land_area;
PH;poverty_incidence;Poverty incidence;;percentage;poverty.png;2012;http://data.gov.ph/catalogue/dataset/poverty--statistics/resource/1a834172-a6e5-46dd-8652-af69c7580fa2;Estimation of percentage of population living below the poverty line, per municipality.;vulnerability;weighted_avg;population;pov_score
PH;income_class;Income class;(1-5 scale);decimal2;incomeclass.png;2016;http://nap.psa.gov.ph/activestats/psgc/listmun.asp;Government data which ranks each municipality on a scale from 1 to 5.;vulnerability;weighted_avg;population;inc_score
;gdp_per_capita;GDP per capita;$;decimal0;gdp.png;2010;http://preview.grid.unep.ch/index.php?preview=data&events=socec&evcat=1&lang=eng;Derived from global grid dataset, which distributes regional GDP to a geospatial grid on the basis of population and whether the area is rural or urban. Transformed to GDP per capita, by relating it to the 2015 population census data.;vulnerability;weighted_avg;population;
PH;hdi;Human development Index;;decimal2;hdi.png;2012;https://psa.gov.ph/sites/default/files/HDI%20Tables%2C%20final%2015jan16_0.pdf;Government data with estimation of Human Development Index on a provincial level.;vulnerability;weighted_avg;population;hdi_score
All;flood_phys_exp;Flood exposure;;percentage;flood.png;2010;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;Global grid dataset which estimates the expected number of people exposed to floods annually. Divided by the population data, to get the relative exposure instead of the absolute number of people affected.;hazard;weighted_avg;population;flood_score
