upload_to_dashboard;order;view_code;disaster_type;country_code;variable;label;label_espanol;unit;format;icon_src;group;agg_method;weight_var;scorevar_name;reverse_inform;log_inform;inform_indicator;id_overall;year;source_link;description;description_espanol;source_organization_type;source_organization;admin_level_min;admin_level;retention_period;source_quality;label_french;description_french;layer_type
1;;CRA;;BDI;admin;Administrative areas - level 2;;;;area.png;admin;;;;;;#N/A;0.1.1;2018;https://data.humdata.org/dataset/burundi-administrative-level-0-1-and-2-administrative-boundaries;Administrative boundary data. See link for more information.;;;;2;2;20;5;;;
1;;CRA;;BDI;admin;Administrative areas - level 1;;;;area.png;admin;;;;;;#N/A;0.1.1;2018;https://data.humdata.org/dataset/burundi-administrative-level-0-1-and-2-administrative-boundaries;Administrative boundary data. See link for more information.;;;;1;1;20;5;;;
1;9;CRA;;BDI;population;Population;;;decimal0;population.png;general;sum;;;0;0;#N/A;0.2.1;2018;https://data.humdata.org/dataset/burundi-administrative-level-0-2-population-statistics-2018;2018 Population estimation done by UNFPA with Institut de Statistiques et d'Etudes Economiques du Burundi.;;;;0;2;;;;;
1;;CRA;;BEN;admin;Administrative areas - level 2;;;;area.png;admin;;;;;;#N/A;0.1.1;2015;https://data.humdata.org/dataset/benin-administrative-boundaries;Administrative boundary data. See link for more information.;;;;2;2;20;5;;;
1;;CRA;;BEN;admin;Administrative areas - level 1;;;;area.png;admin;;;;;;#N/A;0.1.1;2015;https://data.humdata.org/dataset/benin-administrative-boundaries;Administrative boundary data. See link for more information.;;;;1;1;20;5;;;
1;;CRA;;BEN;waterpoint_density;# Waterpoints per 10,000 people;;;decimal2;;coping_capacity;weighted_avg;population;waterpoint_density_score;1;1;Physical infrastructure;3.2.2;2008;;;;;;0;2;;;;;
1;9;CRA;;BEN;population;Population;;;decimal0;population.png;general;sum;;;0;0;#N/A;0.2.1;2014;http://www.worldpop.org.uk/data/summary/?doi=10.5258/SOTON/WP00023;Population estimates from WORLDPOP, with national totals adjusted to match UN population division estimates (http://esa.un.org/wpp/);;;;0;2;;;;;
1;;CRA;;ECU;admin;Administrative areas - level 3;Áreas administrativas - nivel 3;;;area.png;admin;;;;;;#N/A;0.1.1;2013;https://data.humdata.org/dataset/ecuador-admin-level-3-boundaries;Administrative boundary data, Original Source: IGM;Límite administrativo, Fuente: IGM;Government;IGM;3;3;20;5;;;
1;;CRA;;ECU;admin;Administrative areas - level 2;Áreas administrativas - nivel 3;;;area.png;admin;;;;;;#N/A;0.1.1;2013;https://data.humdata.org/dataset/ecuador-admin-level-2-boundaries;Administrative boundary data, Original Source: IGM;Límite administrativo, Fuente: IGM;Government;IGM;2;2;20;5;;;
1;;CRA;;ECU;admin;Administrative areas - level 1;Áreas administrativas - nivel 3;;;area.png;admin;;;;;;#N/A;0.1.1;2013;https://data.humdata.org/dataset/ecuador-admin-level-1-boundaries;Administrative boundary data, Original Source: IGM;Límite administrativo, Fuente: IGM;Government;IGM;1;1;20;5;;;
1;;CRA;;ECU;sanitation;% with improved sanitation;% con saneamiento mejorado;;percentage;sanitation.png;coping_capacity;weighted_avg;population;sanitation_score;1;0;;;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of households with access to piped sanitation;Porcentaje de hogares conectados a la red de alcantarillado.;Government;INEC;0;3;5;4;;;
1;;CRA;;ECU;piped_water;% access to drinking water;% con acceso a agua potable;;percentage;piped_water.png;coping_capacity;weighted_avg;population;piped_water_score;1;0;Physical infrastructure;3.2.2;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of households with that are connected to the public water network.;Porcentaje de hogares conectados a la red pública de agua potable;Government;INEC;0;3;5;4;;;
1;;CRA;;ECU;mobile_phone_access;% with mobile access;% con acceso a telefonìa móvil;;percentage;mobile.png;coping_capacity;weighted_avg;population;mobile_phone_access_score;1;0;;;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of households with mobile phone access.;Porcentaje de hogares con acceso a telefonía móvil;Government;INEC;0;3;3;4;;;
1;;CRA;;ECU;internet_access;% with internet access;% con acceso a internet;;percentage;internet.png;coping_capacity;weighted_avg;population;internet_access_score;1;0;;;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of households with internet access.;Porcentaje de hogares con acceso a internet.;Government;INEC;0;3;4;4;;;
1;;CRA;;ECU;health_density;Nr. of health facilities per 10,000 people;Nro. de centros de salud por cada 10,000 personas;;decimal0;hospital.png;coping_capacity;weighted_avg;population;health_density_score;1;1;;;2014;http://sni.gob.ec/coberturas;Number of health facilities per 10,000 people.;Número de establecimientos de salud por cada 10,000 personas.;Government;MSP;0;3;8;4;;;
1;;CRA;;ECU;electricity_access;% access to power network;% con acceso a la red eléctrica;;percentage;electricity.png;coping_capacity;weighted_avg;population;electricity_access_score;1;0;;;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of households with acces to public power network;Porcentaje de hogares conectados a la red eléctrica;Government;INEC;0;3;5;4;;;
1;;CRA;;ECU;educ_density;Nr. of educational facilities per 10,000 people;Nro. de centros educativos por cada 10,000 personas;;decimal0;schools.png;coping_capacity;weighted_avg;population;educ_density_score;1;1;;;2014;http://sni.gob.ec/coberturas;Number of educational institutes per 10,000 people.;Número de establecimientos educativos por cada 10,000 personas.;Government;MINEDUC;0;3;8;3;;;
1;;CRA;;ECU;accessibility;Road accesibility;Accesibilidad vial;;decimal2;traveltime.png;coping_capacity;weighted_avg;population;accessibility_score;0;1;;;2015;http://metadatos.sigtierras.gob.ec:8080/geonetwork/srv/spa/catalog.search#/home;Accessibility according to road travel time. The original file contains 4 categories: (1) city, (2) 0-15min from commercial/agricultural centre, (3) 15-60min, (4) more than 60min.;Accesibilidad de acuerdo al tiempo de viaje por carretera. El archivo original contiene 4 categorías: (1) ciudad, (2) 0-15 min hacia centros económicos/infraestructuras de acopio y facilidades agrícola, (3) 15-60 min, (4) más de 60 min.;Government;MAG & SIGTIERRAS;0;3;8;3;;;
1;;PI;Volcano,Flood;ECU;nr_events;# of hit parroquias;#N/A;;decimal0;damage.png;damage;sum;;;0;0;;;2018;;Number of affected parroquias from events 2008-2017. When 'Total' is selected as event, this means the total number of events times the average number of parroquias that is hit per event. If a parroquia is hit in multiple events, it counts multiple times in this total number.;#N/A;;;0;3;;;;;
1;;PI;Volcano,Flood,Coldwave,Snowfall;ECU;affected_cropland;Affected crop land;#N/A;ha;decimal0;damage.png;damage;sum;;;0;0;;;2018;;Hectares of affected crop land from events 2008-2017;#N/A;;;0;3;;;;;
1;9;CRA;;ECU;population;Population;Población;;decimal0;population.png;general;sum;;;0;0;;;2015;http://www.worldpop.org.uk/data/summary/?id=14;Estimated Population for 2015;Población estimada, calculada por Banco Mundial e INEC, basado en la ECV 2014 y CPV 2010.;Other;WorldPop;0;3;5;3;;;
1;;CRA;;ECU;volcanic_exposure;Volcanic exposure;Exposición a eventos volcánicos;;percentage;volcano.png;hazard;weighted_avg;population;volcanic_exposure_score;0;1;;;2018;SGR;Annual % of population exposed to volcanic activity. Calculated by summing all people affected by volcanic activities over all events in the years 2010-2018, and dividing by the number of years (9) to get the annual amount. Divided by population per parroquia to get the percentage.;% Anual de la población expuesta a eventos de actividad volcánica. Calculado sumando todas las personas afectadas por eventos de actividad volcánica en todos los eventos registrados de inundaciones en los años 2010-2018, y dividiendolo para el número de años (9) para obtener la cantidad anual. Dividido para la población por cada parroquia para obtener el porcentaje.;Government;SGR;0;3;5;1;;;
1;;CRA;;ECU;flood_exposure;Flood exposure;Exposición a inundaciones;;percentage;flood.png;hazard;weighted_avg;population;flood_exposure_score;0;1;Flood;1.1.2;2018;https://online.desinventar.org/desinventar/#ECU-DISASTER;Annual % of population exposed to flood. Calculated by summing all people affected by floods over all flood events in the years 2007-2018, and dividing by the number of years (12) to get the annual amount. Divided by population per parroquia to get the percentage.;% Anual de la población expuesta a inundaciones. Calculado sumando todas las personas afectadas por inundaciones en todos los eventos registrados de inundaciones en los años 2007-2018, y dividiendolo para el número de años (12) para obtener la cantidad anual. Dividido para la población por cada parroquia para obtener el porcentaje.;Other;DESINVENTAR;0;3;5;3;;;
1;;CRA;;ECU;river_length;Total length of main rivers;Longitud total de rìos principales;km;decimal0;river_length.png;other;sum;;;0;;;;2013;http://www.geoportaligm.gob.ec/portal/index.php/cartografia-de-libre-acceso-escala-50k/;Total river length in kilometres;Longitud total de ríos en kilómetros;Government;IGM;0;3;25;3;;;
1;;CRA;;ECU;nr_volunteers_relative;Nr. of RC volunteers per 10,000 people;Nro. de voluntarios de CRE por cada 10,000 personas;;decimal0;volunteers.png;other;weighted_avg;population;;;;;;2018;Ecuadorian Red Cross;Number of Red Cross volunteers;Número de voluntarios registrados de la Cruz Roja Ecuatoriana por cada 100,000 personas;Other;Red Cross;0;2;3;3;;;
1;;CRA;;ECU;nr_volunteers;Nr. of RC volunteers;Nro. de voluntarios de CRE;;decimal0;volunteers.png;other;sum;;;;;;;2018;Ecuadorian Red Cross;Number of Red Cross volunteers per 100,000 people (see population for source of population data);Número de voluntarios registrados de la Cruz Roja Ecuatoriana;Other;Red Cross;0;2;3;3;;;
1;;CRA;;ECU;land_use_agriculture;% land use agriculture;% uso de suelo agrìcola;;percentage;agriculture.png;other;weighted_avg;land_area;;;;;;2017;MAG;Percentage of land used for agriculture;Porcentaje de uso de suelo agrícola;;;0;3;7;4;;;
1;;CRA;;ECU;elevation;Average elevation;Altitud promedio;m;decimal0;elevation.png;other;weighted_avg;land_area;;0;0;;;2000;http://dwtkns.com/srtm30m/;Average elevation;Altitud promedio;Government;IGM;0;3;25;5;;;
1;;CRA;;ECU;waterborne_diseases;Waterborne disease incidence per 10,000 people;Incidencia de enfermedades transmitidas por el agua por cada 10,000 personas;;decimal0;waterborne.png;vulnerability;weighted_avg;population;waterborne_diseases_score;0;1;Health Conditions;2.2.2;2016;MSP;Percentage of diarrhea, leptospirosis between 2013-2016 per 10,000 people;Porcentaje de casos de enfermedades transmitidas por el agua como diarrea y leptospirosis entre los años 2013-2016 por cada 10,000 personas;Government;MSP;0;3;1;4;;;
1;;CRA;;ECU;wall_type;% strong wall type;% hogares con pared fuerte;;percentage;wall.png;vulnerability;weighted_avg;population;wall_type_score;1;0;Development & Deprivation;2.1.1;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of households with strong walls. Strong defined as: concrete, bricks, adobe.;Porcentaje de hogares con tipo de pared fuerte. Paredes fuertes: concreto, bloques, ladrillo y adobe.;Government;INEC;0;3;7;4;;;
1;;CRA;;ECU;vulnerable_age_groups;% of population <5 or 65+;% de poblaciòn < 5 o 65+ años;;percentage;age_groups.png;vulnerability;weighted_avg;population;vulnerable_age_groups_score;0;0;;;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of population belonging to vulnerable age groups. Below 5 years old and older than 65 years old.;Porcentaje de la población perteneciente a grupos de edad vulnerables.Menores a 5 años y mayores a 65 años.;Government;INEC;0;3;5;4;;;
1;;CRA;;ECU;vectorborne_diseases;Vectorborne disease incidence per 10,000 people;Incidencia de enfermedades transmitidas por vectores por cada 10,000 personas;;decimal0;vectorborne.png;vulnerability;weighted_avg;population;vectorborne_diseases_score;0;1;Health Conditions;2.2.2;2016;MSP;Perrcentage malaria vivax, chikungunya, dengue & leishmaniasis incidences between 2013-2016 per 10,000 people;Porcentaje de casos de enfermedades transmitidas por vectores como la malaria vivax, chikungunya, dengue y leishmaniasis entre los años 2013-2016 por cada 10,000 personas;Government;MSP;0;3;1;4;;;
1;;CRA;;ECU;roof_type;% strong roof type;% hogares con techo fuerte;;percentage;roof.png;vulnerability;weighted_avg;population;roof_type_score;1;0;;;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of households with strong roofs. Strong defined as: concrete, asbestos or roof tiles.;Porcentaje de hogares con un tipo de techo fuerte. Techos fuertes: Concreto, asbesto o teja.;Government;INEC;0;3;7;4;;;
1;;CRA;;ECU;poverty_incidence;Poverty incidence;Incidencia de pobreza;;percentage;poverty.png;vulnerability;weighted_avg;population;poverty_incidence_score;0;0;Development & Deprivation;2.1.1;2014;https://data.humdata.org/dataset/poverty-and-population;Estimated poverty incidence, calculated by World Bank and INEC, based on ECV 2014 and CPV 2010.;Incidencia de pobreza estimada, calculada por Banco Mundial e INEC, basado en ECV 2014 y CPV 2010.;Government;;0;3;5;3;;;
1;;CRA;;ECU;labor_agricultural;% agricultural labor;% personas dedicadas a la agricultura;;percentage;labor_agri.png;vulnerability;weighted_avg;population;labor_agricultural_score;0;0;;;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of population working in agriculture, animal farming, forestry, fishery;Porcentaje de población dedicada a la agricultura, ganadería, silvicultura y pesca;Government;INEC;0;3;5;4;;;
1;;CRA;;ECU;inequality;Gini Index;Índice de GINI;;decimal2;inequality.png;vulnerability;weighted_avg;population;inequality_score;0;0;Inequality;2.1.2;2014;https://data.humdata.org/dataset/poverty-and-population;Estimated GINI index.;Índice de Gini;;;0;3;4;3;;;
1;;CRA;;ECU;disability;% persons with disability;% de personas con discapacidad;;percentage;disability.png;vulnerability;weighted_avg;population;disability_score;0;0;;;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of population with permanent disabillity (minimal one year);Porcentaje de población con discapacidad permanente (mínimo de un año);Government;INEC;0;3;5;4;;;
1;;CRA;;ECU;analphabetism;% analphabetism;% analfabetismo;;percentage;illiteracy.png;vulnerability;weighted_avg;population;analphabetism_score;0;0;;;2010;http://redatam.inec.gob.ec/cgibin/RpWebEngine.exe/PortalAction?&MODE=MAIN&BASE=CPV2010&MAIN=WebServerMain.inl;Percentage of illiterate people;Porcentaje de personas analfabetas;Government;INEC;0;3;5;4;;;
1;;PI;Volcano,Flood,Coldwave,Snowfall;ECU,PER;affected_people;# of affected people;Número de personas afectadas;;decimal0;damage.png;damage;sum;;;0;0;;;2017;;Number of affected people from events 2008-2017;Número de personas afectadas por eventos desde el año 2008-2017;;;0;3;1;4;;;
1;;PI;Volcano,Flood,Coldwave,Snowfall;ECU,PER;affected_houses;# of damaged houses;Número de casas afectadas;;decimal0;damage.png;damage;sum;;;0;0;;;2017;;Number of affected houses from events 2008-2017;Número de casas afectadas por eventos desde el año 2008-2017;;;0;3;1;4;;;
1;;PI;Flood;MLI;affected_people;# of affected people;Número de personas afectadas;;decimal0;damage.png;damage;sum;;;0;0;;;2014;https://www.desinventar.net/DesInventar/results.jsp;Number of affected people from event 1994-2014.;Número de personas afectadas por eventos desde el año 2008-2017;;;0;3;1;4;;;
1;;PI;Flood;MLI;affected_houses;# of damaged houses;Número de casas afectadas;;decimal0;damage.png;damage;sum;;;0;0;;;2014;https://www.desinventar.net/DesInventar/results.jsp;Number of affected houses from events 1994-2014.;Número de casas afectadas por eventos desde el año 2008-2017;;;0;3;1;4;;;
1;;PI;Volcano,Flood,Coldwave,Snowfall;ECU,PER,MLI;affected_people_potential;# of affected people;Número de personas afectadas;;decimal0;damage.png;hide;sum;;;0;0;;;2018;;;;;;0;3;1;4;;;
1;;PI;Volcano,Flood,Coldwave,Snowfall;ECU,PER,MLI;affected_houses_potential;# of damaged houses;Número de casas afectadas;;decimal0;damage.png;hide;sum;;;0;0;;;2018;;;;;;0;3;1;4;;;
1;;CRA;;ETH;admin;Administrative areas - level 3;;;;area.png;admin;;;;;;#N/A;0.1.1;2016;https://africaopendata.org/dataset/ethiopia-shapefiles;Administrative boundary data. See link for more information.;;;;3;3;20;5;;;
